Drug Name,ATC 1st Level
Candesartan/Rosuvastatin/Ezetimibe,C - Cardiovascular system
tofacitinib,L - Antineoplastic and immunomodulating agents
Candesartan/Amlodipine,
tocopherol acetate,B - Blood and blood forming organs
tocopherol acetate,A - Alimentary tract and metabolism
tocopherol acetate,C - Cardiovascular system
Cancer Therapeutic Procedure,
tocopherol,B - Blood and blood forming organs
tocopherol,D - Dermatologicals
tocopherol,A - Alimentary tract and metabolism
tocopherol,C - Cardiovascular system
Canada balsam extract,
tocilizumab Injection,L - Antineoplastic and immunomodulating agents
Camrelizumab,
tocilizumab,L - Antineoplastic and immunomodulating agents
Camptosar,L - Antineoplastic and immunomodulating agents
toceranib,
Campath,L - Antineoplastic and immunomodulating agents
tobramycin Inhalation Solution,S - Sensory organs
tobramycin Inhalation Solution,J - Antiinfectives for systemic use
Caltrate,A - Alimentary tract and metabolism
tobramycin Inhalation Powder,S - Sensory organs
tobramycin Inhalation Powder,J - Antiinfectives for systemic use
Calculus bovis sativus (CBS),
tobramycin,S - Sensory organs
tobramycin,J - Antiinfectives for systemic use
Calcium hydroxide without nanoparicles,
tobacco leaf allergenic extract,V - Various
Calcium folinate,V - Various
tizanidine,M - Musculo-skeletal system
Calcium channel blocker,
tixagevimab,
Calcium Hydroxide Intracanal medication,
tivozanib 1.34 MG,L - Antineoplastic and immunomodulating agents
Calcium Folinate,V - Various
tivozanib 0.89 MG,L - Antineoplastic and immunomodulating agents
Calcium Butyrate,
tivozanib,L - Antineoplastic and immunomodulating agents
Calcipotriol,D - Dermatologicals
titanium dioxide,
Calcineurin inhibitor withdrawal at,
titanium,
Calan,C - Cardiovascular system
tisotumab vedotin-tftv,L - Antineoplastic and immunomodulating agents
Cagrilintide B,
0 mg/kg Midazolam (Control Group),
tisotumab,L - Antineoplastic and immunomodulating agents
Cagrilintide,
tislelizumab in combination with anlotinib and platinum-based doublet chemotherapy,L - Antineoplastic and immunomodulating agents
CagriSema A,
.spironolactone,C - Cardiovascular system
tislelizumab Injection,L - Antineoplastic and immunomodulating agents
CagriSema (cagrilintide B and semaglutide I),
tislelizumab,L - Antineoplastic and immunomodulating agents
CagriSema (Cagrilintide B and Semaglutide I),
tisagenlecleucel,L - Antineoplastic and immunomodulating agents
Caffeine (200 mg),D - Dermatologicals
Caffeine (200 mg),N - Nervous system
tirzepatide Injection,A - Alimentary tract and metabolism
Cafergot,D - Dermatologicals
Cafergot,N - Nervous system
tirzepatide,A - Alimentary tract and metabolism
Caelyx,L - Antineoplastic and immunomodulating agents
tirofiban hydrochloride,B - Blood and blood forming organs
Cadonilimab (AK104),
tirofiban Injection,B - Blood and blood forming organs
Cadonilimab,
tirofiban,B - Blood and blood forming organs
Cabtreo,D - Dermatologicals
Cabtreo,G - Genito urinary system and sex hormones
Cabtreo,J - Antiinfectives for systemic use
tirbanibulin,D - Dermatologicals
Cabotegravir long-acting,
tirapazamine,
Cabergoline,G - Genito urinary system and sex hormones
Cabergoline,N - Nervous system
tipranavir,J - Antiinfectives for systemic use
Cabazitaxel and carboplatin,L - Antineoplastic and immunomodulating agents
tipiracil hydrochloride,
CYTALUX™ (pafolacianine),V - Various
tipiracil / trifluridine,L - Antineoplastic and immunomodulating agents
tipiracil / trifluridine,S - Sensory organs
CYB003,
tipiracil,L - Antineoplastic and immunomodulating agents
CX2101A tablet,
tiotropium,R - Respiratory system
CX2101A enteric-coated tablet,
tiopronin,G - Genito urinary system and sex hormones
CX2101A,
tioconazole,D - Dermatologicals
tioconazole,G - Genito urinary system and sex hormones
CX11,
tinidazole,J - Antiinfectives for systemic use
tinidazole,G - Genito urinary system and sex hormones
tinidazole,"P - Antiparasitic products, insecticides and repellents"
CVXGA (CVXGA50),
timolol maleate,S - Sensory organs
timolol maleate,C - Cardiovascular system
CURCUMINOIDS,
timolol,S - Sensory organs
timolol,C - Cardiovascular system
CUE-102,
Tradipitant,
SHR-A1811 for Injection,
Activase,S - Sensory organs
Activase,B - Blood and blood forming organs
0.5% hyperbaric bupivacaine,
inotuzumab ozogamicin,L - Antineoplastic and immunomodulating agents
Zynteglo,B - Blood and blood forming organs
Tracheo-Spray,
SHR-A1811 Injection,
Actinium-225 Prostate-Specific Membrane Antigen,
0.5% Bupivacaine HCl,N - Nervous system
inotersen,N - Nervous system
Zynrelef,M - Musculo-skeletal system
Zynrelef,N - Nervous system
Trace lithium dose plus treatment as usual,
SHR-A1811,
Acthar,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
inositol 2000 MG,A - Alimentary tract and metabolism
Zyloprim,M - Musculo-skeletal system
Trabedersen,
SHR-9839,
Actemra,L - Antineoplastic and immunomodulating agents
inositol,A - Alimentary tract and metabolism
inositol,C - Cardiovascular system
ZyPREXA,N - Nervous system
Tpoxx,J - Antiinfectives for systemic use
SHR-8068 Injection,
Actein effervescent,
inj. lignocaine infusion @1-2 mg/kg/h,
Zusduri,L - Antineoplastic and immunomodulating agents
Tozorakimab,
SHR-8068,
ActHIB,J - Antiinfectives for systemic use
0.454% Stannous Fluoride Dentifrice,
inj. dexmedetomidine infusion @,N - Nervous system
Zurzuvae,N - Nervous system
Tozinameran (BNT162b2) / Riltozinameran (BNT162b2 OMI BA.1),J - Antiinfectives for systemic use
SHR-6934 injection,
Acoramidis (AG10),C - Cardiovascular system
0.4 ml/kg of,
inhaled BMD003(CFTR mRNA),
Zunveyl,
Tozinameran (BNT162b2) / Famtozinameran (BNT162b2 OMI BA.4-5),J - Antiinfectives for systemic use
SHR-3167 Injection,
Acne-Clear,D - Dermatologicals
0.38% Sodium Hyaluronate (SH) Eye Drops,
inhalation of afatinib dimaleate,L - Antineoplastic and immunomodulating agents
Zunsemetinib,
Tozinameran (BNT162b2),J - Antiinfectives for systemic use
SHR-3167,
Acne mRNA vaccine,
0.2mg/kg esketamine,N - Nervous system
ingenol mebutate,D - Dermatologicals
Zulresso,N - Nervous system
Tovorafenib Drug: Pimasertib,
SHR-3045 Injection,
Achillea millefolium extract,
infliximab-axxq,L - Antineoplastic and immunomodulating agents
Zuberitamab,
"0.28% Sodium Hyaluronate , preservative free eye drops",
Toujeo,A - Alimentary tract and metabolism
SHR-2173,
Acetylsalicylic acid/Aspirin (100 mg),B - Blood and blood forming organs
Acetylsalicylic acid/Aspirin (100 mg),C - Cardiovascular system
Acetylsalicylic acid/Aspirin (100 mg),R - Respiratory system
Acetylsalicylic acid/Aspirin (100 mg),A - Alimentary tract and metabolism
Acetylsalicylic acid/Aspirin (100 mg),N - Nervous system
Acetylsalicylic acid/Aspirin (100 mg),M - Musculo-skeletal system
infliximab Injection,L - Antineoplastic and immunomodulating agents
Ztalmy,N - Nervous system
Total bone marrow and lymphoid irradiation/cyclophosphamide/etoposide,
SHR-1905 Injection,
Acetominophen,N - Nervous system
Acetominophen,R - Respiratory system
0.1mg/kg esketamine,N - Nervous system
infliximab,L - Antineoplastic and immunomodulating agents
"Zoster Vaccine, Live",
Total Body Irradiation,
SHR-1826；Adebrelimab；SHR-8068；Bevacizumab,
Acetaminophen (or equivalent),
infigratinib,L - Antineoplastic and immunomodulating agents
Zoryve,D - Dermatologicals
Zoryve,R - Respiratory system
Toripalimab combined with Endostar,L - Antineoplastic and immunomodulating agents
SHR-1826 and immunotherapy combination therapy,
Accutane,D - Dermatologicals
inert ingredients,G - Genito urinary system and sex hormones
Zolgensma,M - Musculo-skeletal system
Toripalimab (JS001 ),L - Antineoplastic and immunomodulating agents
SHR-1826,
Acasunlimab,
inebilizumab,L - Antineoplastic and immunomodulating agents
Zoledronic Acid,M - Musculo-skeletal system
Topotecan IT,L - Antineoplastic and immunomodulating agents
SHR-1819 Injection,
AcNK-Sup003 cell injection solution,
induction chemotherapy and immunotherapy,
Zoladex,L - Antineoplastic and immunomodulating agents
Topotecan Hydrochloride for Injection,L - Antineoplastic and immunomodulating agents
SHR-1701 Injection,
Abrysvo,
indomethacin 75 MG,S - Sensory organs
indomethacin 75 MG,M - Musculo-skeletal system
indomethacin 75 MG,C - Cardiovascular system
Zn(II)-phthalocyanine gel,
Toposar,L - Antineoplastic and immunomodulating agents
SHR-1701,
Abraxane,L - Antineoplastic and immunomodulating agents
indomethacin 50 MG,S - Sensory organs
indomethacin 50 MG,M - Musculo-skeletal system
indomethacin 50 MG,C - Cardiovascular system
Zirabev,L - Antineoplastic and immunomodulating agents
Zirabev,S - Sensory organs
Topical roflumilast,D - Dermatologicals
Topical roflumilast,R - Respiratory system
SHR-1316,
Abiraterone acetate + Prednisone or Prednisolone,
indomethacin 40 MG,S - Sensory organs
indomethacin 40 MG,M - Musculo-skeletal system
indomethacin 40 MG,C - Cardiovascular system
Zimhi,V - Various
Zimhi,A - Alimentary tract and metabolism
Topical minoxidil,D - Dermatologicals
Topical minoxidil,C - Cardiovascular system
SHR-1314 injection,
Abiraterone Acetate tablets（II）,L - Antineoplastic and immunomodulating agents
indomethacin 25 MG,S - Sensory organs
indomethacin 25 MG,M - Musculo-skeletal system
indomethacin 25 MG,C - Cardiovascular system
Zimberelimab,
Topical Suspension,
SHR-1139 Injection,
Abiraterone Acetate Tablets,L - Antineoplastic and immunomodulating agents
indomethacin 100 MG,S - Sensory organs
indomethacin 100 MG,M - Musculo-skeletal system
indomethacin 100 MG,C - Cardiovascular system
Zilovertamab vedotin,
Topical Spray,
SGLT2i+Metformin+Linagliptin,A - Alimentary tract and metabolism
Abiraterone + Prednisolone/Prednisone,A - Alimentary tract and metabolism
Abiraterone + Prednisolone/Prednisone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
indomethacin,S - Sensory organs
indomethacin,M - Musculo-skeletal system
indomethacin,C - Cardiovascular system
Zilongjin tablet combined with immunotherapy,
Topical Solution,
SGLT2i+Metformin+Cofrogliptin,A - Alimentary tract and metabolism
Abilify,N - Nervous system
indocyanine green,V - Various
Zilbrysq,L - Antineoplastic and immunomodulating agents
Topical Product,
SGLT2 inhibitors,
Abecma,L - Antineoplastic and immunomodulating agents
individualized tumor FAST vaccine combination (including adjuvant),
Ziihera,L - Antineoplastic and immunomodulating agents
Topical Ointment,
SGLT2 inhibitor (Dapagliflozin,
Abacavir,J - Antiinfectives for systemic use
indigo carmine,V - Various
Zibotentan,
Topical Oil,
SGLT2 inhibitor,
AZELAIC ACID,D - Dermatologicals
AZELAIC ACID,A - Alimentary tract and metabolism
indigo,
Zhilong Huoxue Tongyu capsule,
Topical Minoxidil,D - Dermatologicals
Topical Minoxidil,C - Cardiovascular system
SGLT-2 inhibitor,
AZD9793 Subcutaneous (SC) monotherapy),
indapamide 2.5 MG,C - Cardiovascular system
Zevtera,
Topical Lotion,
SGB-9768,
AZD9793 Intravenous (IV) monotherapy,
indapamide 1.25 MG,C - Cardiovascular system
Zevaskyn,
Topical Lactic Acid Gel (BAYER),S - Sensory organs
Topical Lactic Acid Gel (BAYER),D - Dermatologicals
Topical Lactic Acid Gel (BAYER),G - Genito urinary system and sex hormones
SFA002,
AZD8630,
indapamide,C - Cardiovascular system
Zestril,C - Cardiovascular system
Topical Gel,
SEVELAMER HYDROCHLORIDE,V - Various
AZD7798,
incobotulinumtoxinA,M - Musculo-skeletal system
Zeposia,L - Antineoplastic and immunomodulating agents
Topical Foam,
SER-155,B - Blood and blood forming organs
AZD6750,
inclisiran sodium injection,C - Cardiovascular system
Zepbound,A - Alimentary tract and metabolism
Topical Cream,
SEP-363856,
AZD6234,
inclisiran,C - Cardiovascular system
Zenpep,A - Alimentary tract and metabolism
Topical,R - Respiratory system
Topical,D - Dermatologicals
Topical,N - Nervous system
Topical,C - Cardiovascular system
SEBACIC ACID,
AZD5492,
inavolisib 9 MG,
Zemplar,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Topamax,N - Nervous system
SDT-M001 injection,J - Antiinfectives for systemic use
AZD5462 film-coated tablet,
inavolisib,
Zelsuvmi,
Toothpaste Tablet,
SD-101,
AZD5462,
in vitro （chemotherapy）,
Zelquistinel,
Toothpaste Product,
SCTT11,
AZD5004(Part B),
immunotherapy,
Zelpultide alfa,
Toothpaste,
SCTC21C,
AZD5004(Part A),
"immunoglobulin G, human",J - Antiinfectives for systemic use
"immunoglobulin G, human",B - Blood and blood forming organs
Zelenectide pevedotin (BT8009),L - Antineoplastic and immunomodulating agents
Tonlamarsen,
SCT-001 CAR-T cells,L - Antineoplastic and immunomodulating agents
AZD5004,
immunoglobulin G,J - Antiinfectives for systemic use
immunoglobulin G,B - Blood and blood forming organs
Zelboraf,L - Antineoplastic and immunomodulating agents
Tongrentang Angong Niuhuang Wan,
SCG101,
AZD4604,
"immunoglobulin A, human",
Zejula,L - Antineoplastic and immunomodulating agents
Tolsura,J - Antiinfectives for systemic use
SCAI-005,
AZD4512,
imiquimod Topical Cream,D - Dermatologicals
Zavzpret,N - Nervous system
Tolinapant,
SC0062 strength,
AZD4360,
imiquimod,D - Dermatologicals
Zasocitinib,
Tolerogenic dendritic cells (tolDC),
SBRT combined with Tislelizumab followed by Tislelizumab,L - Antineoplastic and immunomodulating agents
AZD4144,
imipramine hydrochloride,N - Nervous system
Zarxio,L - Antineoplastic and immunomodulating agents
Tolak,L - Antineoplastic and immunomodulating agents
SAT-3247,
AZD0780,
imipramine,N - Nervous system
Zanzalintinib,
Tocilizumab(400mg) combined with Flupentixol Melitracen(0.5mg:10mg),
SARS-CoV-2 Vaccine,
AZD0120,
imipenem,J - Antiinfectives for systemic use
"Zanubrutinib , Thiotepa",L - Antineoplastic and immunomodulating agents
Tocilizumab(400mg),L - Antineoplastic and immunomodulating agents
"SARS-CoV-2 (COVID-19) vaccine, protein NVX-CoV2705",
AXS-05 (dextromethorphan-bupropion),N - Nervous system
AXS-05 (dextromethorphan-bupropion),R - Respiratory system
imiglucerase,A - Alimentary tract and metabolism
Zaltrap,L - Antineoplastic and immunomodulating agents
Zaltrap,S - Sensory organs
Tocilizumab (RoActemra®,L - Antineoplastic and immunomodulating agents
"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2",J - Antiinfectives for systemic use
AWT020,
imidurea,
Zalifrelimab,
Toceranib Phosphate,
SAR446959,
AVX70481 middle dose level,
imidocarb,
Zaire ebolavirus envelope glycoprotein,
Tobradex,S - Sensory organs
Tobradex,D - Dermatologicals
Tobradex,R - Respiratory system
Tobradex,C - Cardiovascular system
Tobradex,A - Alimentary tract and metabolism
Tobradex,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Tobradex,J - Antiinfectives for systemic use
SAR446268,
AVX70481 low dose level,
imetelstat sodium,L - Antineoplastic and immunomodulating agents
ZVS203e,
Tobi,S - Sensory organs
Tobi,J - Antiinfectives for systemic use
SAR442970,
AVX70481 high dose level,
imetelstat,L - Antineoplastic and immunomodulating agents
ZT002 Injection,
Tlando,G - Genito urinary system and sex hormones
SAR441566,
AVX70120 middle dose level,
imatinib 400 MG,L - Antineoplastic and immunomodulating agents
ZM001 Injection,
Tivdak,L - Antineoplastic and immunomodulating agents
SAR402663,
AVX70120 low dose level,
imatinib 100 MG,L - Antineoplastic and immunomodulating agents
ZGCVP,
Tisseel,B - Blood and blood forming organs
SAP-001,
AVX70120 high dose level,
imatinib,L - Antineoplastic and immunomodulating agents
ZG006,
Tisotumab Vedotin,L - Antineoplastic and immunomodulating agents
SALCAPROZATE SODIUM,
AVTX-009 Regimen,
iloprost,B - Blood and blood forming organs
ZG005 for Injection,
"Tislelizumab, paclitaxel, Carboplatin",L - Antineoplastic and immunomodulating agents
SAL067,
AVMAPKI FAKZYNJA CO-PACK KIT,
iloperidone,N - Nervous system
ZG005,
"Tislelizumab, Cisplatin, Gemcitabine and Vitamin B3",L - Antineoplastic and immunomodulating agents
SAL-0951 tablets,
AVENANTHRAMIDES,
ifosfamide 3000 MG,L - Antineoplastic and immunomodulating agents
ZE,
"Tislelizumab, Carboplatin, Pemetrexed",L - Antineoplastic and immunomodulating agents
SAFINAMIDE MESYLATE,N - Nervous system
AUR109,
ifosfamide,L - Antineoplastic and immunomodulating agents
Yutiq,S - Sensory organs
Yutiq,D - Dermatologicals
Yutiq,C - Cardiovascular system
Tislelizumab+Oxaliplatin+Capecitabine,L - Antineoplastic and immunomodulating agents
S1RA plus NMDAE,
AUR103 Calcium,
idursulfase,A - Alimentary tract and metabolism
Yuflyma,L - Antineoplastic and immunomodulating agents
Tislelizumab combined with the CAPOX regimen,L - Antineoplastic and immunomodulating agents
S-adenosylmethionine,A - Alimentary tract and metabolism
ATX-559,
idoxuridine,S - Sensory organs
idoxuridine,D - Dermatologicals
idoxuridine,J - Antiinfectives for systemic use
Yucca schidigera extract,
Tislelizumab combined with S-1,
S-Gboxin,
ATX-295,
idelalisib,L - Antineoplastic and immunomodulating agents
Yttrium-90 (Y-90),
Tislelizumab Combined With Chemotherapy,L - Antineoplastic and immunomodulating agents
S-892216,
ATV-1601,
idecabtagene vicleucel,L - Antineoplastic and immunomodulating agents
Yorvipath,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Tiselizumab,L - Antineoplastic and immunomodulating agents
S-2,
ATTO-1310,L - Antineoplastic and immunomodulating agents
idarucizumab,V - Various
Yondelis,L - Antineoplastic and immunomodulating agents
Tirosint,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
S-1,
ATRA+pd-1+chemo,
idarubicin,L - Antineoplastic and immunomodulating agents
Yishen Qutong Simulant Granules,
Tirbanibulin ointment,D - Dermatologicals
Ryzneuta,L - Antineoplastic and immunomodulating agents
ATRA,L - Antineoplastic and immunomodulating agents
ATRA,D - Dermatologicals
icosapent ethyl,C - Cardiovascular system
Yishen Qutong Granules,M - Musculo-skeletal system
Tiragolumab,
Rytelo,L - Antineoplastic and immunomodulating agents
ATI-2138,
mandelic acid,B - Blood and blood forming organs
mandelic acid,J - Antiinfectives for systemic use
atomoxetine 40 MG,N - Nervous system
noradrenaline infusion for management blood pressure,
carrot seed oil,
Tirabrutinib,
Depo Medroxyprogesterone acetate,L - Antineoplastic and immunomodulating agents
Depo Medroxyprogesterone acetate,G - Genito urinary system and sex hormones
14C-VX-993,
maltose,
atomoxetine 10 MG,N - Nervous system
nonoxynol-9,
carrot allergenic extract,V - Various
Tiprogrel,
Depen,M - Musculo-skeletal system
14-day Cerebrolysin treatment,
maltol,
atomoxetine,N - Nervous system
nonivamide,
carrageenan,
Timothy grass pollen extract,V - Various
Depemokimab,
13C6-Glucose,B - Blood and blood forming organs
13C6-Glucose,V - Various
13C6-Glucose,A - Alimentary tract and metabolism
maltodextrin,
atogepant 60 MG,N - Nervous system
non-CCB use,
carprofen,
Timolol eye drops,S - Sensory organs
Timolol eye drops,C - Cardiovascular system
Denosumab treatment in type,M - Musculo-skeletal system
131I-apamistmab,
maltitol,
atogepant 30 MG,N - Nervous system
nogapendekin alfa inbakicept,
carnosine,
Timolol Maleate Solution,S - Sensory organs
Timolol Maleate Solution,C - Cardiovascular system
Denosumab (Prolia),M - Musculo-skeletal system
130 mCi NYMO32,
malondialdehyde,
atogepant,N - Nervous system
no phenytoin cream,N - Nervous system
"carnitine hydrochloride, (+)-",
TimoD implant,
Denifanstat,
malic acid,
atipamezole,
nizatidine,A - Alimentary tract and metabolism
carnitine,
Tice BCG,
Dengvaxia,J - Antiinfectives for systemic use
malathion,D - Dermatologicals
malathion,"P - Antiparasitic products, insecticides and repellents"
atidarsagene autotemcel,A - Alimentary tract and metabolism
nivolumab plus relatlimab,L - Antineoplastic and immunomodulating agents
carnauba wax,
Ticagrelor Tablets,B - Blood and blood forming organs
Dengue,
0.02 mg/kg Midazolam Group,
maitake extract,
atezolizumab,L - Antineoplastic and immunomodulating agents
nivolumab / relatlimab,L - Antineoplastic and immunomodulating agents
carmustine,L - Antineoplastic and immunomodulating agents
Ticagrelor + Aspirin for,B - Blood and blood forming organs
Dendritic cell immunotherapy,
0.01% Atropine,S - Sensory organs
0.01% Atropine,A - Alimentary tract and metabolism
maintenance therapy with niraparib,L - Antineoplastic and immunomodulating agents
atenolol 50 MG,C - Cardiovascular system
nivolumab,L - Antineoplastic and immunomodulating agents
carisoprodol,M - Musculo-skeletal system
Ticagrelor,B - Blood and blood forming organs
Dendritic Cell Vaccine,
maintenance therapy with bevacizumab,L - Antineoplastic and immunomodulating agents
maintenance therapy with bevacizumab,S - Sensory organs
atenolol,C - Cardiovascular system
nitrous oxide,N - Nervous system
cariprazine 6 MG,N - Nervous system
Tibulizumab Dose B,
Deltasone,A - Alimentary tract and metabolism
Deltasone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
magnesium sulfate Injection,B - Blood and blood forming organs
magnesium sulfate Injection,V - Various
magnesium sulfate Injection,D - Dermatologicals
magnesium sulfate Injection,A - Alimentary tract and metabolism
atazanavir sulfate,J - Antiinfectives for systemic use
nitroprusside,C - Cardiovascular system
cariprazine 3 MG,N - Nervous system
Tibulizumab Dose A,
Delamanid (D),
magnesium sulfate,B - Blood and blood forming organs
magnesium sulfate,V - Various
magnesium sulfate,D - Dermatologicals
magnesium sulfate,A - Alimentary tract and metabolism
atazanavir / cobicistat,V - Various
atazanavir / cobicistat,J - Antiinfectives for systemic use
124I-evuzamitide,
nitroglycerin Injection,C - Cardiovascular system
cariprazine 1.5 MG,N - Nervous system
Tibulizumab,
Del-desiran (AOC,D - Dermatologicals
magnesium stearate,
atazanavir,J - Antiinfectives for systemic use
124I AT-01,
nitroglycerin,C - Cardiovascular system
cariprazine,N - Nervous system
Tibsovo,L - Antineoplastic and immunomodulating agents
"Dehydrated Alcohol Injection, USP","H - Systemic hormonal preparations, excluding sex hormones and insulins"
magnesium silicate,A - Alimentary tract and metabolism
astaxanthin,A - Alimentary tract and metabolism
12-HYDROXYSTEARIC ACID,
nitrogen 50 %,V - Various
carglumic acid,A - Alimentary tract and metabolism
Thyrogen,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Degludec SC,A - Alimentary tract and metabolism
magnesium oxide 500 MG,A - Alimentary tract and metabolism
assess the serum HMGB1 concentrations before and after an oxaliplatin-based chemotherapy,L - Antineoplastic and immunomodulating agents
12 months of Eligard,L - Antineoplastic and immunomodulating agents
nitrogen 10 %,V - Various
carfilzomib,L - Antineoplastic and immunomodulating agents
Thymus serpyllum extract,
Degludec IV,A - Alimentary tract and metabolism
magnesium oxide,N - Nervous system
magnesium oxide,A - Alimentary tract and metabolism
magnesium oxide,B - Blood and blood forming organs
aspirin 81 MG,B - Blood and blood forming organs
aspirin 81 MG,A - Alimentary tract and metabolism
aspirin 81 MG,N - Nervous system
aspirin 81 MG,C - Cardiovascular system
111In-XYIMSR-01,V - Various
nitrogen / oxygen,V - Various
carboxymethylcellulose sodium,S - Sensory organs
Thymoglobulin,L - Antineoplastic and immunomodulating agents
Deep Sea,B - Blood and blood forming organs
Deep Sea,A - Alimentary tract and metabolism
Deep Sea,R - Respiratory system
magnesium nitrate,
aspirin 650 MG,B - Blood and blood forming organs
aspirin 650 MG,A - Alimentary tract and metabolism
aspirin 650 MG,N - Nervous system
111In-ETN029,V - Various
nitrogen,V - Various
nitrogen,R - Respiratory system
carboxymethylcellulose,S - Sensory organs
Thrive,N - Nervous system
Decitabine with GemOx,L - Antineoplastic and immunomodulating agents
magnesium lactate,A - Alimentary tract and metabolism
aspirin 500 MG,N - Nervous system
aspirin 500 MG,A - Alimentary tract and metabolism
aspirin 500 MG,B - Blood and blood forming organs
aspirin 500 MG,R - Respiratory system
10µg R21/50µg Matrix-M,
nitrofurantoin,J - Antiinfectives for systemic use
carboprost,G - Genito urinary system and sex hormones
Three-drug chemotherapy group,
Decitabine and Cedazuridine,L - Antineoplastic and immunomodulating agents
magnesium hydroxide,G - Genito urinary system and sex hormones
magnesium hydroxide,A - Alimentary tract and metabolism
aspirin 325 MG,B - Blood and blood forming organs
aspirin 325 MG,R - Respiratory system
aspirin 325 MG,C - Cardiovascular system
aspirin 325 MG,N - Nervous system
aspirin 325 MG,A - Alimentary tract and metabolism
aspirin 325 MG,M - Musculo-skeletal system
10ml of,G - Genito urinary system and sex hormones
10ml of,A - Alimentary tract and metabolism
nitrocellulose,
carboplatin or cisplatin,L - Antineoplastic and immunomodulating agents
Three-cycle induction chemotherapy + immunotherapy,
Debamestrocel - MSC-NTF (NurOwn),
magnesium gluconate,A - Alimentary tract and metabolism
aspirin 25 MG,B - Blood and blood forming organs
aspirin 25 MG,A - Alimentary tract and metabolism
aspirin 25 MG,N - Nervous system
100mg FHND1002,
nitrite ion,
carboplatin,L - Antineoplastic and immunomodulating agents
Thiotepa in conditioning before transplantation,L - Antineoplastic and immunomodulating agents
Dazukibart,
magnesium citrate,B - Blood and blood forming organs
magnesium citrate,A - Alimentary tract and metabolism
aspirin 162 MG,B - Blood and blood forming organs
aspirin 162 MG,A - Alimentary tract and metabolism
aspirin 162 MG,N - Nervous system
100 μg KIO-301,
nitric oxide / nitrogen,V - Various
nitric oxide / nitrogen,R - Respiratory system
carbon dioxide 20 %,V - Various
Therapeutic Tumor Infiltrating Lymphocytes,L - Antineoplastic and immunomodulating agents
Daxxify,M - Musculo-skeletal system
magnesium chloride,B - Blood and blood forming organs
magnesium chloride,V - Various
magnesium chloride,A - Alimentary tract and metabolism
aspirin / dipyridamole,B - Blood and blood forming organs
aspirin / dipyridamole,A - Alimentary tract and metabolism
aspirin / dipyridamole,N - Nervous system
10-HYDROXYDECANOIC ACID,
nitric oxide,R - Respiratory system
carbon dioxide 15 %,V - Various
The triamcinolone acetonide plus ropivacaine group,S - Sensory organs
The triamcinolone acetonide plus ropivacaine group,D - Dermatologicals
The triamcinolone acetonide plus ropivacaine group,R - Respiratory system
The triamcinolone acetonide plus ropivacaine group,C - Cardiovascular system
The triamcinolone acetonide plus ropivacaine group,A - Alimentary tract and metabolism
