NCT ID,Disease,Drug Name
NCT06899204,Dermatitis,abrocitinib
NCT06701201,Cancer,SynKIR-110
NCT06701201,Cancer,SynKIR-310
NCT06878404,Arthritic joint disease,Icotrokinra
NCT06878404,Arthritic joint disease,Active reference comparator
NCT07085572,Adrenal cortex carcinoma,cemiplimab
NCT06597201,End stage renal failure,amino acid (15) peritoneal dialysis solution
NCT06597201,End stage renal failure,glucose peritoneal dialysis solution
NCT07114601,Prostate neoplasm,LY4257496
NCT07114601,Prostate neoplasm,Standard of Care Anticancer Therapies
NCT06758401,Carcinoma,Sigvotatug Vedotin
NCT06758401,Carcinoma,pembrolizumab
NCT06758401,Non-small cell lung carcinoma,Sigvotatug Vedotin
NCT06758401,Non-small cell lung carcinoma,pembrolizumab
NCT07108504,Malignant pancreatic neoplasm,gemcitabine
NCT07108504,Malignant pancreatic neoplasm,LM-302
NCT06588504,Diabetes mellitus,dasiglucagon
NCT06588504,Diabetes mellitus,glucagon
NCT06675201,Esophageal squamous cell carcinoma,neoantigen-loaded dendritic cell vaccine (NeoDC-Vac)
NCT07037004,Nonpapillary renal cell carcinoma,Clostridium butyricum CBM
NCT07037004,Nonpapillary renal cell carcinoma,pembrolizumab
NCT06922604,Primary central nervous system lymphoma,glofitamab
NCT06922604,Primary central nervous system lymphoma,obinutuzumab
NCT07022704,"COPD, severe early onset",doxapram
NCT06917001,Dengue disease,Resomelagon
NCT06920901,Asthma,APG777
NCT06694701,Sepsis,Emapalumab-Izsg
NCT06694701,Sepsis,Emapalumab-Izsg
NCT06645301,Malignant pancreatic neoplasm,Group A
NCT06645301,Malignant pancreatic neoplasm,Group B
NCT06917404,Osteoarthritis,Pentosan Polysulfate Sodium twice weekly
NCT07102901,Gastroesophageal junction adenocarcinoma,SHR2554 Tablets
NCT07102901,Gastroesophageal junction adenocarcinoma,SHR-A1811 Injection
NCT07102901,Gastroesophageal junction adenocarcinoma,SHR-A1904 Injection
NCT07102901,Gastroesophageal junction adenocarcinoma,SHR-1701 Injection
NCT06601101,Keratoconus,Insulin
NCT06959004,Migraine disorder,Substance P
NCT06640504,Sepsis,Blood Lactate
NCT06990204,Hypertensive disorder,Azilsartan medoxomil
NCT06990204,Hypertensive disorder,Edarbi®
NCT07035301,Respiratory system disorder,Lidocaine Intravenous Infusion
NCT07035301,Respiratory system disorder,Remimazolam Tosilate
NCT07035301,Respiratory system disorder,remifentanil
NCT07035301,Respiratory system disorder,Rocuronium (0.15mg/kg/body mass)
NCT07037901,Atopic eczema,IMG-007
NCT06966401,Endogenous depression,NBI-1065845
NCT06954467,Hepatocellular carcinoma,JS207
NCT06954467,Hepatocellular carcinoma,JS007
NCT06969001,Wet macular degeneration,SCAI-005
NCT06969001,Wet macular degeneration,SCAI-005
NCT06969001,Wet macular degeneration,SCAI-005
NCT06997367,Tuberculosis,MTBVAC
NCT06997367,Tuberculosis,BCG Sii
NCT07106372,Atopic eczema,Stapokibatrt
NCT06853444,Autoimmune thrombocytopenic purpura,ESG206
NCT06853444,Autoimmune thrombocytopenic purpura,ESG206
NCT06853444,Autoimmune thrombocytopenic purpura,ESG206
NCT06853444,Autoimmune thrombocytopenic purpura,ESG206
NCT06919744,Pseudotumor cerebri,Best medical care
NCT06871644,Systemic sclerosis,T cell injection targeting CD7 chimeric antigen receptor
NCT06824844,Dry eye syndrome,artificial tear eyedrops
NCT06824844,Dry eye syndrome,0.05% cyclosporine eyedrops
NCT06816901,Lactation,Depo Medroxyprogesterone acetate
NCT07087067,Preeclampsia,Aspirin
NCT06839144,Ovarian cancer,Propranolol (Beta-Blocker) and Etodolac (COX-2 Inhibitor)
NCT07082192,Amyotrophic lateral sclerosis,Test drug CB03-154
NCT07082192,Amyotrophic lateral sclerosis,Test drug CB03-154
NCT07082192,Amyotrophic lateral sclerosis,Test drug CB03-154
NCT07089992,Sarcoma,pembrolizumab
NCT06602492,Nicotine dependence,Lower nicotine e-liquid
NCT06602492,Nicotine dependence,Higher nicotine eliquid
NCT06975644,Triple-negative breast carcinoma,"nab-paclitaxel, carboplatin, and bemotuzumab"
NCT06975644,Triple-negative breast carcinoma,"epirubicin, cyclophosphamide, and bemotuzumab"
NCT06911944,Down syndrome,donanemab
NCT06789744,Hernia,Intravenous Patient-Controlled Analgesia (PCA) (fentanyl)
NCT06612840,Non-small cell lung carcinoma,GNC-077
NCT07000344,Ovarian cancer,Cohort
NCT07000344,Ovarian cancer,Cohort
NCT06830044,Endogenous depression,Milsaperidone
NCT06879340,B-cell non-Hodgkin lymphoma,DuoCAR20.19.22-D95
NCT06879340,B-cell non-Hodgkin lymphoma,Fludarabine (Conditional therapy)
NCT06879340,B-cell non-Hodgkin lymphoma,Cyclophosphamide (Conditional therapy)
NCT06879340,Precursor B-cell acute lymphoblastic leukemia,DuoCAR20.19.22-D95
NCT06879340,Precursor B-cell acute lymphoblastic leukemia,Fludarabine (Conditional therapy)
NCT06879340,Precursor B-cell acute lymphoblastic leukemia,Cyclophosphamide (Conditional therapy)
NCT07065240,Endogenous depression,SPT-300
NCT06755944,Cerebrovascular disorder,XY03-EA
NCT06941844,Endogenous depression,MM120 (LSD D-Tartrate)
NCT06751589,Endometrial cancer,tirzepatide
NCT06973889,Digestive system disorder,Helicobacter pylori eradication therapy
NCT06816992,Non-small cell lung carcinoma,ORIC-114 Dose
NCT06816992,Non-small cell lung carcinoma,ORIC-114 Dose
NCT06816992,Non-small cell lung carcinoma,ORIC-114 Dose
NCT06705192,Dementia,VES001
NCT06705192,Frontotemporal dementia,VES001
NCT06776289,Periapical periodontitis,Platelet rich fibrin
NCT06997289,Insomnia,Group that is receiving treatment.
NCT06967389,Weight loss,Ozempic®
NCT06761989,Pain,Intrathecal morphine injection
NCT06903689,Kidney failure,Pentoxifylline
NCT06566989,Metastatic prostate carcinoma,[¹⁴C]Opevesostat
NCT06566989,Metastatic prostate carcinoma,prednisone
NCT06566989,Metastatic prostate carcinoma,fludrocortisone
NCT06641089,Arthritic joint disease,Sonelokimab
NCT06641089,Arthritic joint disease,risankizumab
NCT06840392,Hidradenitis suppurativa,Remibrutinib Dose A
NCT06840392,Hidradenitis suppurativa,Remibrutinib Dose B
NCT07000292,Lupus nephritis,Injection of MSC303
NCT07064889,Autoimmune thrombocytopenic purpura,dexamethasone
NCT07064889,Autoimmune thrombocytopenic purpura,upadacitinib
NCT06694389,COVID-19,mRNA-1083
NCT06694389,COVID-19,Licensed Influenza Vaccine
NCT06694389,COVID-19,SARS-CoV-2 Vaccine
NCT06694389,Influenza,mRNA-1083
NCT06694389,Influenza,Licensed Influenza Vaccine
NCT06694389,Influenza,SARS-CoV-2 Vaccine
NCT06651229,Leukemia,JNJ-90189892
NCT06902844,Lupus nephritis,Equecabtagene Autoleucel Injection
NCT06902844,Systemic lupus erythematosus,Equecabtagene Autoleucel Injection
NCT06980792,Pancreatic ductal adenocarcinoma,Chemotherapy
NCT06917092,Endometrial cancer,QL1706 combined with chemotherapy ± Bevacizumab
NCT07021989,Classic Hodgkin lymphoma,pembrolizumab
NCT07021989,Classic Hodgkin lymphoma,gemcitabine
NCT07021989,Classic Hodgkin lymphoma,vinorelbine
NCT07021989,Classic Hodgkin lymphoma,Liposomal Doxorubicin
NCT07021989,Classic Hodgkin lymphoma,pegfilgrastim
NCT07021989,Hodgkins lymphoma,pembrolizumab
NCT07021989,Hodgkins lymphoma,gemcitabine
NCT07021989,Hodgkins lymphoma,vinorelbine
NCT07021989,Hodgkins lymphoma,Liposomal Doxorubicin
NCT07021989,Hodgkins lymphoma,pegfilgrastim
NCT06626789,Borderline personality disorder,Amygdala neurofeedback
NCT06591429,Multiple sclerosis,anti-CD20 MS treatment
NCT06987292,Psoriasis,IL-17i
NCT06900192,Multiple sclerosis,Orca-Q
NCT06900192,Multiple sclerosis,myeloablative regimen
NCT06715592,Vulvar carcinoma,Bleomicina
NCT06928389,Non-small cell lung carcinoma,"Ivonescimab, docetaxel"
NCT07004192,Infertility disorder,HCG injection
NCT06958692,Endogenous depression,Dextromethorphan and Bupropion Sustained-Release Tablets
NCT06898489,Systemic lupus erythematosus,Conventional pharmacotherapy
NCT06948292,Diabetic kidney disease,QRX-3
NCT06703892,Follicular lymphoma,GF-CART01
NCT06703892,Follicular lymphoma,GF-CART01
NCT06703892,Follicular lymphoma,GF-CART01
NCT06703892,High grade B-cell lymphoma,GF-CART01
NCT06703892,High grade B-cell lymphoma,GF-CART01
NCT06703892,High grade B-cell lymphoma,GF-CART01
NCT06979492,Sickle cell disease,Prophylactic Transfusion Intervention group: Transfusion
NCT06619392,Pain,HRS-2129
NCT06934889,Adult glioblastoma,ERAS-801
NCT06934889,Adult glioblastoma,ABBV-637
NCT06934889,Adult glioblastoma,ABBV-155
NCT06934889,Adult glioblastoma,temozolomide
NCT06607692,Medulloblastoma,Olaparib
NCT06607692,Meningioma,Olaparib
NCT06842992,Endogenous depression,NH102
NCT06842992,Endogenous depression,NH102
NCT06842992,Endogenous depression,NH102
NCT06842992,Endogenous depression,Duloxetine Hydrochloride Enteric-coated Capsule
NCT06978192,Herpes zoster,dexmedetomidine nasal spray group
NCT06723392,Pregnancy disorder with abortive outcome,Oral nitrofurantoin monohydrate/macrocrystals
NCT07011589,Epidermolysis bullosa,Efgartigimod
NCT06872892,Bronchiectasis,BI
NCT06783192,Human immunodeficiency virus,MK-8527
NCT06783192,Human immunodeficiency virus,LNG/EE
NCT06634589,B-cell non-Hodgkin lymphoma,BGB-16673
NCT06634589,B-cell non-Hodgkin lymphoma,Sonrotoclax
NCT06634589,B-cell non-Hodgkin lymphoma,zanubrutinib
NCT06634589,B-cell non-Hodgkin lymphoma,mosunetuzumab
NCT06634589,B-cell non-Hodgkin lymphoma,glofitamab
NCT06634589,B-cell non-Hodgkin lymphoma,obinutuzumab
NCT06877689,Proximal spinal muscular atrophy,Apitegromab
NCT07090044,Diabetic retinopathy,Bromfenac Sodium
NCT07090044,Diabetic retinopathy,Loteprednol Etabonate
NCT07090044,Diabetic retinopathy,Propylene Glycol Preservative-free Artificial Tears
NCT07090044,Macular retinal edema,Bromfenac Sodium
NCT07090044,Macular retinal edema,Loteprednol Etabonate
NCT07090044,Macular retinal edema,Propylene Glycol Preservative-free Artificial Tears
NCT06993792,Obesity disorder,Orforglipron
NCT06993792,Type 2 diabetes mellitus,Orforglipron
NCT06780592,Adult glioblastoma,Vebreltinib + Temozolomide
NCT06780592,Adult glioblastoma,temozolomide
NCT06761092,Delirium,Nebulized Dexmedetomidine for Post-Anesthesia Delirium in Preschool Children
NCT06941792,Coronary artery disorder,inclisiran sodium injection
NCT06604689,Non-small cell lung carcinoma,third-generation EGFR TKIs (Almonertinib/Furmonertinib/Osimertinib)
NCT06872489,Malignant pancreatic neoplasm,SL-28.
NCT06872489,Neuroblastoma,SL-28.
NCT06852092,Paroxysmal nocturnal hemoglobinuria,Carbon-14 labeled HSK39297
NCT06620692,Psoriasis,5% GM-XANTHO [GM-XAN003]
NCT06710704,Epicondylitis,Methylprednisolone and mepacaine
NCT06710704,Pain,Methylprednisolone and mepacaine
NCT06913101,Type 2 diabetes mellitus,Trelagliptin
NCT06913101,Type 2 diabetes mellitus,Vildagliptin
NCT06735001,Atrial fibrillation,Lab test
NCT07052201,Bronchopulmonary dysplasia,dexamethasone
NCT07052201,Bronchopulmonary dysplasia,dexamethasone
NCT07052201,Bronchopulmonary dysplasia,Dexametasone
NCT06879301,Diabetic macular edema,Intravitreal injection of aflibercept
NCT06623201,Basal cell carcinoma,aminolevulinic acid HCL (ALA)
NCT06618001,Leukemia,JNJ-89853413
NCT06902467,Ovarian cancer,Following
NCT06962267,Malignant pancreatic neoplasm,TQB2916 Injection
NCT06962267,Malignant pancreatic neoplasm,Chemotherapy
NCT06826001,Androgenetic alopecia,topical finasteride
NCT06826001,Androgenetic alopecia,Topical minoxidil
NCT06786767,Asthma,"BDP/FF/G (Beclomethasone diprprionate, formoterol fumarate, glycopyrronium bromide)"
NCT06781567,Adrenal cortex carcinoma,HG146
NCT07000201,Anxiety,"One hour prior to admission to the operating room, patients will receive the study medication (as premedication) by mouth with a sip of water"
NCT06863467,Kidney failure,Intravenous Gemini
NCT06604767,Respiratory syncytial virus infectious disease,parainfluenza virus type
NCT06604767,Respiratory syncytial virus infectious disease,RSV/hMPV/PIV3 vaccine
NCT06604767,Respiratory syncytial virus infectious disease,RSV/hMPV vaccine
NCT06604767,Respiratory syncytial virus infectious disease,RSV vaccine
NCT06604767,Respiratory syncytial virus infectious disease,RSV vaccine
NCT06801067,Diarrheal disease,SER-155
NCT07041801,Systemic lupus erythematosus,hUC-MSCs treatment (low dose)
NCT07041801,Systemic lupus erythematosus,hUC-MSCs treatment (medium dose)
NCT07041801,Systemic lupus erythematosus,hUC-MSCs treatment (high dose)
NCT07041801,Systemic lupus erythematosus,hUC-MSCs treatment （Double dose）
NCT06637501,B-cell chronic lymphocytic leukemia,Sonrotoclax
NCT06637501,B-cell chronic lymphocytic leukemia,zanubrutinib
NCT06778967,Type 2 diabetes mellitus,GZR18
NCT06778967,Type 2 diabetes mellitus,semaglutide
NCT06989567,Sickle cell disease,L-citrulline
NCT06759701,Diabetes mellitus,tirzepatide
NCT06759701,Prostate cancer,tirzepatide
NCT06942767,Gastric adenocarcinoma,QLS31905 for Injection
NCT06942767,Gastric adenocarcinoma,QL2107 Injection
NCT06942767,Gastric adenocarcinoma,oxaliplatin Injection
NCT06942767,Gastric adenocarcinoma,Capecitabine Tablets
NCT06942767,Gastroesophageal junction adenocarcinoma,QLS31905 for Injection
NCT06942767,Gastroesophageal junction adenocarcinoma,QL2107 Injection
NCT06942767,Gastroesophageal junction adenocarcinoma,oxaliplatin Injection
NCT06942767,Gastroesophageal junction adenocarcinoma,Capecitabine Tablets
NCT06915701,Rheumatoid arthritis,Will take
NCT06906367,Fabry disease,migalastat HCl
NCT06906367,Fabry disease,ERT
NCT06989840,Acne,TVB-3567
NCT06592144,Muscle weakness,Testosterone cypionate (200mg/3ml)
NCT07119840,Gingivitis,Listerine Mouthwash Product
NCT07119840,Gingivitis,chlorhexidine Mouthwash
NCT06788444,Irritable bowel syndrome,esketamine
NCT06659744,Diabetes mellitus,New use of semaglutide injection
NCT06659744,Diabetes mellitus,New initiation of sitagliptin
NCT06811844,Chemotherapy,Two-cycle induction chemotherapy + immunotherapy
NCT06811844,Chemotherapy,Three-cycle induction chemotherapy + immunotherapy
NCT06979544,Depressive disorder,LPCN
NCT06979544,Postpartum depression,LPCN
NCT06612944,Myelodysplastic syndrome,Prophylactic Intervention for Relapse Prevention Post-Allogeneic Transplantation
NCT07104344,Systemic lupus erythematosus,CM355
NCT06995144,Edema,Extended Release Torsemide Tablets
NCT06995144,Edema,Immedate Release Torsemide Tablets
NCT06995144,Heart failure,Extended Release Torsemide Tablets
NCT06995144,Heart failure,Immedate Release Torsemide Tablets
NCT06754644,Non-small cell lung carcinoma,QL2107
NCT06754644,Non-small cell lung carcinoma,pemetrexed
NCT06754644,Non-small cell lung carcinoma,carboplatin
NCT06754644,Non-small cell lung carcinoma,Keytruda®
NCT07047144,Proximal spinal muscular atrophy,Apitegromab
NCT07047144,Proximal spinal muscular atrophy,nusinersen
NCT07047144,Proximal spinal muscular atrophy,risdiplam
NCT07014644,Opiate dependence,0.9g Naltrexone Implant +
NCT07014644,Opiate dependence,1.5g Naltrexone Implant
NCT06758544,Malignant pancreatic neoplasm,Oncolytic virus VRT106
NCT06758544,Malignant pancreatic neoplasm,Chemotherapy
NCT07044544,Hematopoietic and lymphoid cell neoplasm,G-CSF
NCT07044544,Hematopoietic and lymphoid cell neoplasm,decitabine
NCT07044544,Hematopoietic and lymphoid cell neoplasm,venetoclax
NCT07044544,Myelodysplastic syndrome,G-CSF
NCT07044544,Myelodysplastic syndrome,decitabine
NCT07044544,Myelodysplastic syndrome,venetoclax
NCT07044544,Myeloid neoplasm,G-CSF
NCT07044544,Myeloid neoplasm,decitabine
NCT07044544,Myeloid neoplasm,venetoclax
NCT06794944,Inflammatory bowel disease,Vancomycin (POC)
NCT06794944,Inflammatory bowel disease,fidaxomicin
NCT06982040,IgA glomerulonephritis,NTQ5082 capsules
NCT06982040,IgA glomerulonephritis,NTQ5082 capsules
NCT06982040,IgA glomerulonephritis,NTQ5082 capsules
NCT06768840,Vitiligo-associated multiple autoimmune disease susceptibility 1,baricitinib
NCT06768840,Vitiligo-associated multiple autoimmune disease susceptibility 1,oral mini pulse
NCT06971744,Ovarian cancer,hydroxychloroquine
NCT06971744,Ovarian cancer,nelfinavir
NCT06971744,Ovarian cancer,bevacizumab
NCT07025044,Overactive bladder,onabotulinum toxin type a
NCT06861101,Allergic rhinitis,JT002 Nasal spray
NCT06660667,Wet macular degeneration,SAR402663
NCT06660667,Wet macular degeneration,Diluent
NCT06667167,Non-small cell lung carcinoma,Induction Carboplatin
NCT07131501,Hepatocellular carcinoma,Iparomlimab and Tuvonralimab Injection (QL1706)
NCT07131501,Hepatocellular carcinoma,lenvatinib
NCT06677801,Systemic lupus erythematosus,Telitacicept
NCT06754267,Precursor B-cell acute lymphoblastic leukemia,venetoclax
NCT06754267,Precursor B-cell acute lymphoblastic leukemia,Olverembatinib
NCT06754267,Precursor B-cell acute lymphoblastic leukemia,Predinisone
NCT06846567,Diabetes mellitus,BM2216 Extended-Release tablets（5.5mg）
NCT06846567,Diabetes mellitus,Mirogabalin Besilate Tablets
NCT06846567,Diabetes mellitus,BM2216 Extended-Release Tablets(11mg)
NCT06846567,Diabetes mellitus,BM2216 Extended-Release Tablets(16.5mg)
NCT06810167,Constipation disorder,tenapanor
NCT06810167,Cystic fibrosis,tenapanor
NCT07070167,Newborn respiratory distress syndrome,Intratracheal administration of surfactant
NCT07067801,Sudden sensorineural hearing loss,prednisone - oral corticosteroid
NCT06883240,Von Willebrand disease (hereditary or acquired),Von Willebrand Factor Concentrates
NCT06883240,Von Willebrand disease (hereditary or acquired),Von Willebrand Factor Concentrates and Factor VIII Concentrates
NCT06883240,Von Willebrand disease (hereditary or acquired),Factor VIII Concentrates
NCT06883240,Von Willebrand disease (hereditary or acquired),Recombinant Activated Factor VII
NCT06883240,Von Willebrand disease (hereditary or acquired),Activated Prothrombin Complex Concentrate
NCT06885840,Non-small cell lung carcinoma,MCLA-129
NCT06580301,Precursor B-cell acute lymphoblastic leukemia,YK012
NCT06847867,Myelodysplastic syndrome,momelotinib
NCT06832267,Primary central nervous system lymphoma,Rituximab-Methotrexate-Temozolomide-Thiotepa (RMTT)
NCT06758167,Major depressive disorder,XingpiJieyu formula
NCT06758167,Major depressive disorder,escitalopram
NCT06594640,Diffuse large B-cell lymphoma,Mitoxantrone Hydrochloride Liposome
NCT06594640,Diffuse large B-cell lymphoma,Rituximab (R)
NCT06594640,Diffuse large B-cell lymphoma,Cyclophosphamide (CTX)
NCT06594640,Diffuse large B-cell lymphoma,Vincristin
NCT06594640,Diffuse large B-cell lymphoma,prednisolone
NCT06716567,Influenza,Influenza vaccine
NCT07054567,Cervical carcinoma,BL-B01D1
NCT07054567,Cervical carcinoma,pembrolizumab
NCT07054567,Cervical carcinoma,bevacizumab
NCT07054567,Endometrial cancer,BL-B01D1
NCT07054567,Endometrial cancer,pembrolizumab
NCT07054567,Endometrial cancer,bevacizumab
NCT07123701,COVID-19,Tanshinone capsules
NCT07033767,Obesity disorder,genistein
NCT06937567,Biliary tract cancer,CDH17 CAR-T
NCT06937567,Gastric carcinoma,CDH17 CAR-T
NCT06937567,Pancreatic adenocarcinoma,CDH17 CAR-T
NCT07080567,Cerebrovascular disorder,maraviroc
NCT07080567,Cerebrovascular disorder,mannitol
NCT07080567,Ischemic stroke,maraviroc
NCT07080567,Ischemic stroke,mannitol
NCT07101367,Coronary artery disorder,dexmedetomidine
NCT07101367,Coronary artery disorder,methylprednisolone
NCT06934967,Paroxysmal nocturnal hemoglobinuria,LNP023
NCT06793189,Marginal zone lymphoma,Obinutuzumab and Orelabrutinib
NCT06793189,Marginal zone lymphoma,"Obinutuzumab, Orelabrutinib and Lenalidomide"
NCT06793189,Marginal zone lymphoma,Orelabrutinib
NCT06793189,Marginal zone lymphoma,Orelabrutinib
NCT06857240,Dermatomyositis,ruxolitinib Topical Cream
NCT07025889,Gastric carcinoma,IBI343
NCT07025889,Gastric carcinoma,Sintilimab
NCT07025889,Gastric carcinoma,oxaliplatin
NCT07025889,Gastric carcinoma,S-1
NCT06976229,Spinal cord injury,Allogeneic Human Induced Pluripotent Stem Cell (iPSC)-Derived Motor Neuron Progenitor Cells
NCT06846489,Mantle cell lymphoma,acalabrutinib
NCT06846489,Mantle cell lymphoma,rituximab
NCT07015489,Esophageal squamous cell carcinoma,induction chemotherapy and immunotherapy
NCT07014189,HIV infectious disease,Neviparine (NVP)/ Lamivudine (3TC)
NCT07116889,Asthma,GB-0895 (SC)
NCT07116889,Asthma,GB-0895 (SC)
NCT07116889,"COPD, severe early onset",GB-0895 (SC)
NCT07116889,"COPD, severe early onset",GB-0895 (SC)
NCT06629389,Parkinson disease,cannabidiol
NCT06629389,Parkinson disease,cannabidiol
NCT06629389,Parkinson disease,Cannabidiol
NCT06779929,Type 2 diabetes mellitus,tirzepatide
NCT06779929,Type 2 diabetes mellitus,dulaglutide
NCT06703840,Erectile dysfunction,LIB-01
NCT07101744,Nasopharyngeal carcinoma,Iparomlimab and Tuvonralimab
NCT06742840,Pain,HRS-2129
NCT07101640,Bronchopulmonary dysplasia,montelukast
NCT06671444,Insomnia,YZJ-1139
NCT06623240,Juvenile idiopathic arthritis,allogeneic Hope Biosciences adipose-derived mesenchymal stem cells
NCT07117240,Diabetes mellitus,lixisenatide + glargine
NCT07117240,Diabetes mellitus,Insulin Therapy
NCT06946940,Fibromyalgia,Cannabis Oil (5% THC/5% CBD)
NCT06728644,Polycystic ovary syndrome,L-arginine intervention
NCT06649240,Cholesterol,Statins and/or Ezetimibe
NCT06649240,Cholesterol,PCSK9 inhibitor
NCT06649240,Ischemic stroke,Statins and/or Ezetimibe
NCT06649240,Ischemic stroke,PCSK9 inhibitor
NCT06671340,Diabetes mellitus,Dorzagliatin
NCT06739044,Type 2 diabetes mellitus,Ozempic®
NCT06739044,Type 2 diabetes mellitus,HDG1901
NCT06947967,Lymphoma,"CHOP (cyclophosphamide, hydroxydaunorubicin [doxorubicin], Oncovin [vincristine], prednisone)"
NCT06947967,Lymphoma,Tucidinostat
NCT07132567,Mycosis fungoides,Poteligeo
NCT07001540,Diffuse large B-cell lymphoma,"Polatuzumab Vedotin combined with Rituximab, Gemcitabine, and Oxaliplatin (Pola-R- GemOx)"
NCT06614140,Cancer,Personalized Neoantigen Peptide Vaccine with Poly-ICLC and Checkpoint Inhibitors
NCT07105267,Autism,FMT Protocol
NCT06993740,Thrombotic disease,NaCl
NCT06993740,Thrombotic disease,dexmedetomidine
NCT06783881,Hypertriglyceridemia,Kylo-12
NCT06730581,Cholangiocarcinoma,Utidelone Capsule
NCT06730581,Cholangiocarcinoma,Utidelone capsule
NCT06730581,Cholangiocarcinoma,Utidelone Capsule
NCT06730581,Ovarian cancer,Utidelone Capsule
NCT06730581,Ovarian cancer,Utidelone capsule
NCT06730581,Ovarian cancer,Utidelone Capsule
NCT06807281,Atopic eczema,abrocitinib
NCT06924710,Non-small cell lung carcinoma,Standard Therapy
NCT07030881,Asthma,pMDI Triple Inhaler and Spacer
NCT07030881,Asthma,pMDI Triple Inhaler Only
NCT06776510,Autoimmune thrombocytopenic purpura,nicotinamide adenine dinucleotid/nicotinamide mononucleotide
NCT06719310,Infectious disease,ACC017+FTC/TAF
NCT07000110,Systemic lupus erythematosus,anifrolumab
NCT06778395,Gastroesophageal reflux disease,dexlansoprazole
NCT06778395,Gastroesophageal reflux disease,Vonoprazan
NCT06621095,Malignant pancreatic neoplasm,anlotinib + benmelstobart + nab-paclitaxel + gemcitabine
NCT06621095,Malignant pancreatic neoplasm,nab-paclitaxel + gemcitabine
NCT06859281,Pharyngitis,Grammidin neo
NCT06859281,Pharyngitis,"Grammidin, a metered dose topical spray"
NCT07019181,Esophageal cancer,tislelizumab
NCT07019181,Esophageal cancer,albumin-bound paclitaxel
NCT07019181,Esophageal cancer,Nedaplatin
NCT06833281,Alzheimer disease,SPG302
NCT06630481,Malignant pancreatic neoplasm,neoadjuvant therapy
NCT07041281,"Hypertension, pregnancy-induced",spironolactone
NCT07041281,Preeclampsia,spironolactone
NCT06628310,Esophageal adenocarcinoma,ABBV-400
NCT06628310,Esophageal adenocarcinoma,Budigalimab
NCT06628310,Esophageal adenocarcinoma,fluorouracil
NCT06628310,Esophageal adenocarcinoma,leucovorin
NCT06628310,Esophageal adenocarcinoma,oxaliplatin
NCT06628310,Gastroesophageal junction adenocarcinoma,ABBV-400
NCT06628310,Gastroesophageal junction adenocarcinoma,Budigalimab
NCT06628310,Gastroesophageal junction adenocarcinoma,fluorouracil
NCT06628310,Gastroesophageal junction adenocarcinoma,leucovorin
